Text,Frequency,Word Tokens,Frequency N
K01_Carrie.txt,61,60588,100.6800026
K02_Salem's_Lot.txt,233,188448,123.6415351
K03_The_Shining.txt,139,163515,85.00749167
K04_Rage.txt,84,54032,155.4634291
K05_The_Long_Walk.txt,220,84112,261.5560205
K06_The_Dead_Zone.txt,173,150108,115.2503531
K07_Firestarter.txt,180,150818,119.3491493
K08_Roadwork.txt,98,89554,109.4311812
K09_Cujo.txt,102,118498,86.07740215
K10_The_Running_Man.txt,110,65795,167.1859564
K11_Rita_Hayworth.txt,16,40049,39.95105995
K12_Apt_Pupil.txt,99,71658,138.1562422
K13_The_Body.txt,76,58691,129.4917449
K14_The_Breathing_Method.txt,8,24724,32.35722375
K15_Christine.txt,190,190696,99.63502119
K16_Pet_Sematary.txt,135,142798,94.5391392
K17_The_Eyes_of_the_Dragon.txt,80,103486,77.30514272
K18_Thinner.txt,96,95426,100.6015132
K19_It.txt,383,440888,86.87013482
K20_DT2_The_Drawing_of_the_Three.txt,94,125486,74.90875476
K21_Misery.txt,72,112080,64.23982869
K22_The_Tommyknockers.txt,179,256013,69.91832446
K23_The_Dark_Half.txt,132,153854,85.79562442
K24_The_Stand.txt,540,466501,115.7553789
K25_The_Langoliers.txt,137,88820,154.2445395
K26_Secret_Window_Secret_Garden.txt,58,58282,99.51614564
K27_The_Library_Policeman.txt,60,79005,75.94456047
K28_The_Sun_Dog.txt,51,61485,82.94706026
K29_DT3_The_Waste_Lands.txt,147,171730,85.59948757
K30_Needful Things.txt,215,251018,85.6512282
K31_Gerald's_Game.txt,38,124327,30.56455959
K32_Dolores_Claiborne.txt,3,93738,3.200409652
K33_Insomnia.txt,119,240842,49.40998663
K34_Rose_Madder.txt,78,173406,44.98114252
K35_The_Green_Mile.txt,40,130314,30.69509032
K36_Desperation.txt,83,191716,43.29320453
K37_The_Regulators.txt,37,116445,31.77465756
K38_DT4_Wizard_and_Glass.txt,124,254155,48.78912475
K39_Bag_of_Bones.txt,32,199908,16.00736339
K40_The_Girl_Who_Loved_Tom_Gordon.txt,23,61397,37.46111374
K41_Low_Men_in_Yellow_Coats.txt,41,89311,45.90699914
K42_Hearts_In_Atlantis.txt,8,55493,14.41623268
K43_Dreamcatcher.txt,67,216223,30.9865278
K44_From_a_Buick_8.txt,18,123675,14.55427532
K45_DT1_The_Gunslinger.txt,45,62501,71.99884802
K46_DT5_Wolves_of_the_Calla.txt,114,241250,47.25388601
K47_DT6_Song_of_Susannah.txt,72,126199,57.05275002
K48_DT7_The_Dark_Tower.txt,93,272229,34.16241473
K49_The_Colorado_Kid.txt,22,33899,64.89866958
K50_Cell.txt,61,121626,50.15375002
K51_Lisey's_Story.txt,46,183555,25.06060854
K52_Blaze.txt,13,72167,18.01377361
K53_Duma_Key.txt,33,210110,15.70605873
K54_Under_the_Dome.txt,121,334032,36.22407434
K55_1922.txt,9,51085,17.617696
K56_Big_Driver.txt,7,40141,17.43852918
K57_Fair_Extension.txt,6,10784,55.6379822
K58_A_Good_Marriage.txt,5,30586,16.34734846
K59_11_22_63.txt,44,271600,16.20029455
K60_DTX_The_Wind_Through_the_Keyhole.txt,15,91451,16.40222633
K61_Joyland.txt,13,79886,16.27318929
K62_Doctor_Sleep.txt,34,161501,21.05250122
K63_Mr_Mercedes.txt,32,136335,23.4715957
K64_Revival.txt,11,120368,9.138641499
K65_Finders Keepers.txt,32,123437,25.92415564
K66_End_of_Watch.txt,26,118693,21.90525136
K67_The_Outsider.txt,31,165369,18.74595601
K68_Elevation.txt,6,27033,22.19509488
K69_The_Institute.txt,36,175030,20.56790265
K70_Mr._Harrigan's_Phone.txt,1,29442,3.396508389
K71_The_Life_of_Chuck.txt,1,18799,5.319431885
K72_If_It_Bleeds.txt,9,56326,15.97841139
K73_Rat.txt,2,28404,7.041261794