4,Alice McDermott - Charming Billy (1998).txt,,he said wisely.
5,Alice McDermott - Charming Billy (1998).txt,,she said slowly.
7,Alice McDermott - Charming Billy (1998).txt,,she said patiently.
7,Alice McDermott - Charming Billy (1998).txt,,"Lynch said solemnly,"
8,Alice McDermott - Charming Billy (1998).txt,,she said firmly.
8,Alice McDermott - Charming Billy (1998).txt,,Rosemary said softly.
9,Alice McDermott - Charming Billy (1998).txt,,Kate said suddenly.
10,Alice McDermott - Charming Billy (1998).txt,,he said politely.
10,Alice McDermott - Charming Billy (1998).txt,,"Lynch said sadly,"
11,Alice McDermott - Charming Billy (1998).txt,,"he said softly,"
11,Alice McDermott - Charming Billy (1998).txt,,Lynch said indignantly.
12,Alice McDermott - Charming Billy (1998).txt,,"Kate said softly,"
13,Alice McDermott - Charming Billy (1998).txt,,Rosemary asked coolly.
15,Alice McDermott - Charming Billy (1998).txt,,"Holtzman said slowly,"
16,Alice McDermott - Charming Billy (1998).txt,,"he said pleasantly,"
18,Alice McDermott - Charming Billy (1998).txt,,he said softly.
19,Alice McDermott - Charming Billy (1998).txt,,"he said, warily,"
20,Alice McDermott - Charming Billy (1998).txt,,"Dennis said indignantly,"
22,Alice McDermott - Charming Billy (1998).txt,,he said gently.
24,Alice McDermott - Charming Billy (1998).txt,,she said pleasantly.
25,Alice McDermott - Charming Billy (1998).txt,,"Dennis said softly,"
26,Alice McDermott - Charming Billy (1998).txt,,she said softly.
28,Alice McDermott - Charming Billy (1998).txt,,she said suddenly.
29,Alice McDermott - Charming Billy (1998).txt,,"he said softly,"
29,Alice McDermott - Charming Billy (1998).txt,,Billy asked softly.
30,Alice McDermott - Charming Billy (1998).txt,,"he added softly,"
31,Alice McDermott - Charming Billy (1998).txt,,"he said patiently,"
31,Alice McDermott - Charming Billy (1998).txt,,"Billy said wistfully,"
32,Alice McDermott - Charming Billy (1998).txt,,he asked softly.
33,Alice McDermott - Charming Billy (1998).txt,,"he said softly,"
35,Alice McDermott - Charming Billy (1998).txt,,he said softly.
37,Alice McDermott - Charming Billy (1998).txt,,he said seriously.
38,Alice McDermott - Charming Billy (1998).txt,,he said politely.
40,Alice McDermott - Charming Billy (1998).txt,,she said haughtily.
41,Alice McDermott - Charming Billy (1998).txt,,he said softly.
41,Alice McDermott - Charming Billy (1998).txt,,"Maeve said softly,"
42,Alice McDermott - Charming Billy (1998).txt,,he said severely.
42,Alice McDermott - Charming Billy (1998).txt,,"Maeve said softly,"
44,Alice McDermott - Charming Billy (1998).txt,,"Bridie said helpfully,"
45,Alice McDermott - Charming Billy (1998).txt,,"Bridie said softly,"
46,Alice McDermott - Charming Billy (1998).txt,,Dorothy said softly.
47,Charles Frazier - Cold Mountain (1997).txt,,he said loudly
49,Alice McDermott - Charming Billy (1998).txt,,"Maeve said softly,"
51,Alice McDermott - Charming Billy (1998).txt,,Mac said soberly.
52,Charles Frazier - Cold Mountain (1997).txt,,he said eventually.
53,Charles Frazier - Cold Mountain (1997).txt,,he said modestly.
54,Alice McDermott - Charming Billy (1998).txt,,"Dan said softly,"
58,Alice McDermott - Charming Billy (1998).txt,,Dan said finally.
64,Alice McDermott - Charming Billy (1998).txt,,Billy answered impatiently.
65,Alice McDermott - Charming Billy (1998).txt,,Billy said hoarsely.
66,Alice McDermott - Charming Billy (1998).txt,,"Dennis said patiently,"
67,Alice McDermott - Charming Billy (1998).txt,,"Dennis said wearily,"
69,Alice McDermott - Charming Billy (1998).txt,,Eva asked brightly.
71,Alice McDermott - Charming Billy (1998).txt,,Billy said easily.
74,Charles R. Johnson - Middle Passage (1990).txt,,"he said testily,"
75,Charles R. Johnson - Middle Passage (1990).txt,,he remembered vaguely
104,Denis Johnson - Tree of Smoke (2007).txt,,"he said loudly,"
106,Charles Frazier - Cold Mountain (1997).txt,,"Ruby said pointedly,"
111,Jaimy Gordon - Lord of Misrule (2010).txt,,"he said fondly,"
112,Jaimy Gordon - Lord of Misrule (2010).txt,,"he said, firmly"
116,Jaimy Gordon - Lord of Misrule (2010).txt,,she said peevishly.
117,Jaimy Gordon - Lord of Misrule (2010).txt,,she said bitterly.
117,Charles Frazier - Cold Mountain (1997).txt,,"Ruby said contemptuously,"
118,Jaimy Gordon - Lord of Misrule (2010).txt,,she said sullenly.
122,Charles Frazier - Cold Mountain (1997).txt,,"Pangle said softly,"
126,Jaimy Gordon - Lord of Misrule (2010).txt,,she said hopelessly.
127,Jaimy Gordon - Lord of Misrule (2010).txt,,he whispered loudly.
128,Jaimy Gordon - Lord of Misrule (2010).txt,,he said pleasantly
129,Jaimy Gordon - Lord of Misrule (2010).txt,,"he said quietly,"
130,Jaimy Gordon - Lord of Misrule (2010).txt,,"she said shiftily,"
131,Jaimy Gordon - Lord of Misrule (2010).txt,,"he thought jealously,"
135,Jaimy Gordon - Lord of Misrule (2010).txt,,she said reluctantly.
136,Jaimy Gordon - Lord of Misrule (2010).txt,,she said carefully.
138,Jaimy Gordon - Lord of Misrule (2010).txt,,he said cheerfully.
139,Jaimy Gordon - Lord of Misrule (2010).txt,,she asked reluctantly.
140,James McBride - The Good Lord Bird (2013).txt,,"he said coolly,"
140,Charles R. Johnson - Middle Passage (1990).txt,,I said quickly.
141,James McBride - The Good Lord Bird (2013).txt,,he said proudly.
142,James McBride - The Good Lord Bird (2013).txt,,he said brightly.
143,James McBride - The Good Lord Bird (2013).txt,,he said suddenly.
144,James McBride - The Good Lord Bird (2013).txt,,"he blurted nervously,"
145,James McBride - The Good Lord Bird (2013).txt,,he said slowly.
146,James McBride - The Good Lord Bird (2013).txt,,he said dryly.
147,James McBride - The Good Lord Bird (2013).txt,,"he said sternly,"
148,James McBride - The Good Lord Bird (2013).txt,,he said glumly.
149,James McBride - The Good Lord Bird (2013).txt,,he said happily.
150,James McBride - The Good Lord Bird (2013).txt,,he said drearily.
151,James McBride - The Good Lord Bird (2013).txt,,he said proudly.
152,James McBride - The Good Lord Bird (2013).txt,,he shouted quickly
153,James McBride - The Good Lord Bird (2013).txt,,she said dryly.
154,James McBride - The Good Lord Bird (2013).txt,,"she said gently,"
155,James McBride - The Good Lord Bird (2013).txt,,she said quickly.
157,James McBride - The Good Lord Bird (2013).txt,,he said proudly.
158,James McBride - The Good Lord Bird (2013).txt,,he proclaimed loudly
159,James McBride - The Good Lord Bird (2013).txt,,"he said airily,"
161,James McBride - The Good Lord Bird (2013).txt,,she said softly.
162,James McBride - The Good Lord Bird (2013).txt,,he said glumly.
163,James McBride - The Good Lord Bird (2013).txt,,he said gaily.
164,James McBride - The Good Lord Bird (2013).txt,,"she uttered hotly,"
165,James McBride - The Good Lord Bird (2013).txt,,she scolded naughtily.
166,James McBride - The Good Lord Bird (2013).txt,,he said tersely.
167,James McBride - The Good Lord Bird (2013).txt,,he announced cheerfully.
172,John Casey - Spartina (1989).txt,,she said agreeably.
173,John Casey - Spartina (1989).txt,,he said cheerily.
176,John Irving - The World According to Garp (1980).txt,,"he asked, doubtfully."
179,John Irving - The World According to Garp (1980).txt,,she said firmly
181,John Irving - The World According to Garp (1980).txt,,"he agreed, distinctly."
193,John Irving - The World According to Garp (1980).txt,,"she added, hypocritically."
194,John Irving - The World According to Garp (1980).txt,,"he added, dangerously,"
197,John Irving - The World According to Garp (1980).txt,,she said softly
199,John Irving - The World According to Garp (1980).txt,,he said mysteriously.
206,Denis Johnson - Tree of Smoke (2007).txt,,Skip said sadly.
208,John Irving - The World According to Garp (1980).txt,,"he added, heartily."
211,John Irving - The World According to Garp (1980).txt,,"she said, gravely,"
213,John Irving - The World According to Garp (1980).txt,,"he said, sulkily."
214,John Irving - The World According to Garp (1980).txt,,"he said, dramatically."
215,John Irving - The World According to Garp (1980).txt,,"she said, caustically."
216,John Irving - The World According to Garp (1980).txt,,"he thinks, coldly:"
217,John Irving - The World According to Garp (1980).txt,,he cried suddenly.
218,John Irving - The World According to Garp (1980).txt,,"he said angrily,"
221,John Irving - The World According to Garp (1980).txt,,"he said, impatiently."
223,John Irving - The World According to Garp (1980).txt,,"she said, softly."
223,Denis Johnson - Tree of Smoke (2007).txt,,"Evans whispered loudly,"
225,Denis Johnson - Tree of Smoke (2007).txt,,"He said suddenly,"
230,John Irving - The World According to Garp (1980).txt,,"she said sweetly,"
232,John Irving - The World According to Garp (1980).txt,,"he said, miserably."
233,John Irving - The World According to Garp (1980).txt,,"he added, sharply."
234,John Irving - The World According to Garp (1980).txt,,"she said softly,"
235,John Irving - The World According to Garp (1980).txt,,she said softly.
236,John Irving - The World According to Garp (1980).txt,,"she said, sharply."
239,John Irving - The World According to Garp (1980).txt,,"she thought bluntly,"
244,John Irving - The World According to Garp (1980).txt,,"he whispered, incomprehensibly."
247,John Irving - The World According to Garp (1980).txt,,he said suddenly;
248,John Irving - The World According to Garp (1980).txt,,"she said, unconvincingly;"
250,John Irving - The World According to Garp (1980).txt,,"he said, approvingly."
251,John Irving - The World According to Garp (1980).txt,,"he said, helplessly."
253,John Irving - The World According to Garp (1980).txt,,"she said, sheepishly,"
254,John Irving - The World According to Garp (1980).txt,,"she said, sweetly,"
256,John Irving - The World According to Garp (1980).txt,,"she said, quietly."
257,John Irving - The World According to Garp (1980).txt,,"she said, gently."
258,John Irving - The World According to Garp (1980).txt,,"he said, wearily."
261,Denis Johnson - Tree of Smoke (2007).txt,,Trung said hopelessly.
263,John Irving - The World According to Garp (1980).txt,,"she said, mysteriously."
266,Julia Glass - Three Junes (2002).txt,,she said abruptly.
275,Julia Glass - Three Junes (2002).txt,,he says quietly
277,Julia Glass - Three Junes (2002).txt,,he said cheerfully.
278,Julia Glass - Three Junes (2002).txt,,"he added quietly,"
281,Julia Glass - Three Junes (2002).txt,,"he said quickly,"
283,Julia Glass - Three Junes (2002).txt,,"she says, softly,"
284,Julia Glass - Three Junes (2002).txt,,"she says tartly,"
285,Julia Glass - Three Junes (2002).txt,,"he said abruptly,"
287,Julia Glass - Three Junes (2002).txt,,"he said idly,"
288,Julia Glass - Three Junes (2002).txt,,he said calmly.
288,Jaimy Gordon - Lord of Misrule (2010).txt,,Ed said slowly.
289,Julia Glass - Three Junes (2002).txt,,"he said carefully,"
289,Jaimy Gordon - Lord of Misrule (2010).txt,,Maggie said carefully.
290,Julia Glass - Three Junes (2002).txt,,he said wryly
294,Julia Glass - Three Junes (2002).txt,,"he says simply,"
295,Julia Glass - Three Junes (2002).txt,,"he says gently,"
295,Jaimy Gordon - Lord of Misrule (2010).txt,,Ed said slowly.
296,Jaimy Gordon - Lord of Misrule (2010).txt,,Ed said firmly.
297,Jaimy Gordon - Lord of Misrule (2010).txt,,"Ed said slowly,"
298,Jaimy Gordon - Lord of Misrule (2010).txt,,Ed said carefully.
299,Jaimy Gordon - Lord of Misrule (2010).txt,,Ed say darkly.
300,Julia Glass - Three Junes (2002).txt,,he called quietly
301,Julia Glass - Three Junes (2002).txt,,"he answered quickly,"
302,Julia Glass - Three Junes (2002).txt,,he said sharply.
302,Jaimy Gordon - Lord of Misrule (2010).txt,,Bigg said patiently.
305,Julia Glass - Three Junes (2002).txt,,"he said smoothly,"
306,Julia Glass - Three Junes (2002).txt,,she said quietly.
308,Julia Glass - Three Junes (2002).txt,,he said quietly.
309,Julia Glass - Three Junes (2002).txt,,"he said teasingly,"
310,Julia Glass - Three Junes (2002).txt,,"she says quickly,"
311,Jaimy Gordon - Lord of Misrule (2010).txt,,Tommy said patiently.
312,Julia Glass - Three Junes (2002).txt,,"she said sharply,"
313,Julia Glass - Three Junes (2002).txt,,he said calmly.
314,Julia Glass - Three Junes (2002).txt,,she said quietly.
314,Jaimy Gordon - Lord of Misrule (2010).txt,,Two-Tie said coldly.
315,Jaimy Gordon - Lord of Misrule (2010).txt,,Suitcase asked peevishly.
316,Julia Glass - Three Junes (2002).txt,,she said simply.
316,Jaimy Gordon - Lord of Misrule (2010).txt,,"Suitcase said mournfully,"
317,Julia Glass - Three Junes (2002).txt,,he says melodically
317,Jaimy Gordon - Lord of Misrule (2010).txt,,Suitcase said dispiritedly.
318,Julia Glass - Three Junes (2002).txt,,she says idiotically.
319,Julia Glass - Three Junes (2002).txt,,he says quietly.
320,Julia Glass - Three Junes (2002).txt,,she asked merrily.
323,Julia Glass - Three Junes (2002).txt,,he said loudly.
324,Jaimy Gordon - Lord of Misrule (2010).txt,,Two-Tie observed mournfully.
325,Julia Glass - Three Junes (2002).txt,,he said impatiently.
325,Jaimy Gordon - Lord of Misrule (2010).txt,,Two-Tie asked worriedly.
326,Jaimy Gordon - Lord of Misrule (2010).txt,,Two-Tie explained vaguely.
327,Julia Glass - Three Junes (2002).txt,,"she says simply,"
328,Julia Glass - Three Junes (2002).txt,,he says lightly.
329,Jaimy Gordon - Lord of Misrule (2010).txt,,Biggy said indignantly.
332,Larry Heinemann - Paco's Story (1987).txt,,he says clearly
334,Larry Heinemann - Paco's Story (1987).txt,,"she said clearly,"
334,Jaimy Gordon - Lord of Misrule (2010).txt,,Ed replied carefully.
335,Jaimy Gordon - Lord of Misrule (2010).txt,,Maggie said sharply.
336,Jaimy Gordon - Lord of Misrule (2010).txt,,Ed whispered roughly
337,Jaimy Gordon - Lord of Misrule (2010).txt,,Ed said tiredly.
339,Larry Heinemann - Paco's Story (1987).txt,,he whispered distinctly
340,Larry Heinemann - Paco's Story (1987).txt,,he whispered clearly
342,James McBride - The Good Lord Bird (2013).txt,,"I said quickly,"
343,James McBride - The Good Lord Bird (2013).txt,,Frederick announced proudly.
344,James McBride - The Good Lord Bird (2013).txt,,"Man said icily,"
345,James McBride - The Good Lord Bird (2013).txt,,Doyle murmured quietly.
347,James McBride - The Good Lord Bird (2013).txt,,Kelly said hotly.
350,Louise Erdrich - The Round House (2012).txt,,she said finally.
351,Louise Erdrich - The Round House (2012).txt,,he said gently.
351,James McBride - The Good Lord Bird (2013).txt,,"Bob said slowly,"
352,Louise Erdrich - The Round House (2012).txt,,he said distractedly.
354,James McBride - The Good Lord Bird (2013).txt,,Man said calmly.
355,Louise Erdrich - The Round House (2012).txt,,"she said immediately,"
355,James McBride - The Good Lord Bird (2013).txt,,Man said calmly.
356,Louise Erdrich - The Round House (2012).txt,,he asked warily.
357,Louise Erdrich - The Round House (2012).txt,,he said carefully.
357,James McBride - The Good Lord Bird (2013).txt,,I said hurriedly.
358,Louise Erdrich - The Round House (2012).txt,,he said softly.
358,James McBride - The Good Lord Bird (2013).txt,,"I said proudly,"
360,James McBride - The Good Lord Bird (2013).txt,,"She said softly,"
361,Louise Erdrich - The Round House (2012).txt,,"he said softly,"
361,James McBride - The Good Lord Bird (2013).txt,,I said proudly.
364,Louise Erdrich - The Round House (2012).txt,,"he said, broodingly."
365,Louise Erdrich - The Round House (2012).txt,,he said quickly.
365,James McBride - The Good Lord Bird (2013).txt,,Broadnax said slowly.
367,Louise Erdrich - The Round House (2012).txt,,"he said gently,"
368,Pete Dexter - Paris Trout (1988).txt,,she said quietly.
369,Pete Dexter - Paris Trout (1988).txt,,she said finally.
370,James McBride - The Good Lord Bird (2013).txt,,Man said cheerily.
371,Pete Dexter - Paris Trout (1988).txt,,she said quietly.
371,James McBride - The Good Lord Bird (2013).txt,,"Man said proudly,"
372,Pete Dexter - Paris Trout (1988).txt,,he said suddenly.
373,Pete Dexter - Paris Trout (1988).txt,,he said finally.
374,Pete Dexter - Paris Trout (1988).txt,,"she said finally,"
374,James McBride - The Good Lord Bird (2013).txt,,"Kagi said calmly,"
375,Pete Dexter - Paris Trout (1988).txt,,he said suddenly.
376,Pete Dexter - Paris Trout (1988).txt,,he said finally.
376,James McBride - The Good Lord Bird (2013).txt,,"Kagi said calmly,"
377,Pete Dexter - Paris Trout (1988).txt,,he said finally.
378,Pete Dexter - Paris Trout (1988).txt,,he said finally.
379,Pete Dexter - Paris Trout (1988).txt,,he said seriously.
380,Pete Dexter - Paris Trout (1988).txt,,he said quietly.
380,James McBride - The Good Lord Bird (2013).txt,,Cook said gaily.
381,Pete Dexter - Paris Trout (1988).txt,,he said finally.
382,Pete Dexter - Paris Trout (1988).txt,,she said finally.
385,Pete Dexter - Paris Trout (1988).txt,,"he said softly,"
387,Pete Dexter - Paris Trout (1988).txt,,"she said, slowly."
388,Pete Dexter - Paris Trout (1988).txt,,she said quietly.
389,Pete Dexter - Paris Trout (1988).txt,,she said calmly.
390,Pete Dexter - Paris Trout (1988).txt,,"she said finally,"
391,Pete Dexter - Paris Trout (1988).txt,,he said finally.
391,James McBride - The Good Lord Bird (2013).txt,,Caldwell said proudly.
392,Pete Dexter - Paris Trout (1988).txt,,he said finally.
393,Pete Dexter - Paris Trout (1988).txt,,she said suddenly.
394,Pete Dexter - Paris Trout (1988).txt,,he said quietly.
395,Pete Dexter - Paris Trout (1988).txt,,she said finally.
396,Pete Dexter - Paris Trout (1988).txt,,he said finally.
396,John Casey - Spartina (1989).txt,,"Then said carefully,"
397,Pete Dexter - Paris Trout (1988).txt,,she said finally.
397,John Casey - Spartina (1989).txt,,"Dick said, agreeably,"
398,Pete Dexter - Paris Trout (1988).txt,,he said softly.
398,John Casey - Spartina (1989).txt,,"Joxer said cheerily,"
400,Pete Dexter - Paris Trout (1988).txt,,he said finally.
402,Pete Dexter - Paris Trout (1988).txt,,he said finally.
403,Pete Dexter - Paris Trout (1988).txt,,he said quietly.
404,Pete Dexter - Paris Trout (1988).txt,,he said quietly.
405,Pete Dexter - Paris Trout (1988).txt,,"he said finally,"
406,John Casey - Spartina (1989).txt,,"Joxer said warily,"
409,Powers - The Echo Maker (2006).txt,,"she said, simply,"
410,Powers - The Echo Maker (2006).txt,,"she said, thoughtfully."
412,Powers - The Echo Maker (2006).txt,,"she asked doubtfully,"
