Text,Tokens,F,F per 10k
K01_Carrie.txt,60588,823,135.83548
K02_Salem's_Lot.txt,188448,2272,120.56376
K03_The_Shining.txt,163515,2132,130.38559
K04_Rage.txt,54032,677,125.29613
K05_The_Long_Walk.txt,84112,1320,156.93361
K06_The_Dead_Zone.txt,150108,1805,120.24676
K07_Firestarter.txt,150818,2117,140.36786
K08_Roadwork.txt,89554,946,105.63459
K09_Cujo.txt,118498,1610,135.86726
K10_The_Running_Man.txt,65795,926,140.74019
K11_Rita_Hayworth.txt,40049,330,82.39906
K12_Apt_Pupil.txt,71658,999,139.41222
K13_The_Body.txt,58691,705,120.120636
K14_The_Breathing_Method.txt,24724,370,149.65216
K15_Christine.txt,190696,2636,138.23048
K16_Pet_Sematary.txt,142798,1957,137.04674
K17_The_Eyes_of_the_Dragon.txt,103486,1458,140.88863
K18_Thinner.txt,95426,1266,132.66824
K19_It.txt,440888,5664,128.468
K20_DT2_The_Drawing_of_the_Three.txt,125486,1648,131.32939
K21_Misery.txt,112080,1576,140.61385
K22_The_Tommyknockers.txt,256013,3420,133.58696
K23_The_Dark_Half.txt,153854,2006,130.38335
K24_The_Stand.txt,466501,5724,122.70071
K25_The_Langoliers.txt,88820,1321,148.72777
K26_Secret_Window_Secret_Garden.txt,58282,827,141.8963
K27_The_Library_Policeman.txt,79005,826,104.55035
K28_The_Sun_Dog.txt,61485,859,139.70888
K29_DT3_The_Waste_Lands.txt,171730,2227,129.68031
K30_Needful Things.txt,251018,3305,131.66386
K31_Gerald's_Game.txt,124327,2023,162.71606
K32_Dolores_Claiborne.txt,93738,545,58.140774
K33_Insomnia.txt,240842,3197,132.74263
K34_Rose_Madder.txt,173406,2281,131.541
K35_The_Green_Mile.txt,130314,1196,91.77832
K36_Desperation.txt,191716,2019,105.31202
K37_The_Regulators.txt,116445,1277,109.665504
K38_DT4_Wizard_and_Glass.txt,254155,2683,105.5655
K39_Bag_of_Bones.txt,199908,2023,101.19655
K40_The_Girl_Who_Loved_Tom_Gordon.txt,61397,790,128.67078
K41_Low_Men_in_Yellow_Coats.txt,89311,831,93.045654
K42_Hearts_In_Atlantis.txt,55493,524,94.42632
K43_Dreamcatcher.txt,216223,2485,114.92764
K44_From_a_Buick_8.txt,123675,1111,89.83222
K45_DT1_The_Gunslinger.txt,62501,889,142.23772
K46_DT5_Wolves_of_the_Calla.txt,241250,2599,107.73057
K47_DT6_Song_of_Susannah.txt,126199,1400,110.935905
K48_DT7_The_Dark_Tower.txt,272229,3123,114.71959
K49_The_Colorado_Kid.txt,33899,330,97.348
K50_Cell.txt,121626,1338,110.00937
K51_Lisey's_Story.txt,183555,2088,113.75337
K52_Blaze.txt,72167,566,78.4292
K53_Duma_Key.txt,210110,2060,98.043884
K54_Under_the_Dome.txt,334032,3356,100.46941
K55_1922.txt,51085,393,76.9306
K56_Big_Driver.txt,40141,428,106.62415
K57_Fair_Extension.txt,10784,144,133.53116
K58_A_Good_Marriage.txt,30586,341,111.488914
K59_11_22_63.txt,271600,2470,90.94256
K60_DTX_The_Wind_Through_the_Keyhole.txt,91451,795,86.9318
K61_Joyland.txt,79886,752,94.13414
K62_Doctor_Sleep.txt,161501,1588,98.32757
K63_Mr_Mercedes.txt,136335,1413,103.64177
K64_Revival.txt,120368,1076,89.39253
K65_Finders Keepers.txt,123437,1296,104.99283
K66_End_of_Watch.txt,118693,1195,100.67991
K67_The_Outsider.txt,165369,1475,89.194466
K68_Elevation.txt,27033,261,96.54867
K69_The_Institute.txt,175030,1649,94.212425
K70_Mr._Harrigan's_Phone.txt,29442,290,98.49874
K71_The_Life_of_Chuck.txt,18799,179,95.217834
K72_If_It_Bleeds.txt,56326,558,99.066154
K73_Rat.txt,28404,274,96.46529